,customer_lifetime_value,effective_to_date,income,monthly_premium_auto,months_since_last_claim,months_since_policy_inception,number_of_open_complaints,number_of_policies,total_claim_amount
0,2763.519279,2011-02-24,56274,69,32,5,0,1,384.811147
1,6979.535903,2011-01-31,0,94,13,42,0,8,1131.464935
2,12887.43165,2011-02-19,48767,108,18,38,0,2,566.4722469999999
3,7645.861827,2011-01-20,0,106,18,65,0,7,529.881344
4,2813.692575,2011-02-03,43836,73,12,44,0,1,138.130879
5,8256.2978,2011-01-25,62902,69,14,94,0,2,159.383042
6,5380.898636,2011-02-24,55350,67,0,13,0,9,321.6
7,7216.100311,2011-01-18,0,101,0,68,0,4,363.02968
8,24127.50402,2011-01-26,14072,71,13,3,0,2,511.2
9,7388.178085,2011-02-17,28812,93,17,7,0,8,425.527834
10,4738.992021999999,2011-02-21,0,67,23,5,0,3,482.4
11,8197.197078,2011-01-06,0,110,27,87,0,3,528.0
12,8798.797003,2011-02-06,77026,110,9,82,2,3,472.029737
13,8819.018934,2011-01-10,99845,110,23,25,1,8,528.0
14,5384.431665,2011-01-18,83689,70,21,10,2,8,307.13913199999996
15,7463.1393769999995,2011-01-17,24599,64,12,50,1,2,42.920271
16,2566.867823,2011-02-06,25049,67,14,7,0,1,454.24509800000004
17,3945.241604,2011-01-05,28855,101,12,59,0,1,647.4420309999999
18,5710.333114999999,2011-02-27,51148,72,9,1,0,7,308.981664
19,8162.617053,2011-01-14,66140,101,11,21,0,3,484.8
20,2872.051273,2011-02-19,57749,74,31,21,0,1,355.2
21,3041.791561,2011-01-21,13789,79,8,49,0,1,379.2
22,24127.50402,2011-01-26,14072,71,13,3,0,2,511.2
23,2450.1909960000003,2011-02-24,0,73,4,44,3,1,554.376763
24,2392.1078899999998,2011-02-05,17870,61,30,91,0,1,439.2
25,5802.0659780000005,2011-01-29,97541,72,22,1,0,3,389.185006
26,3946.372085,2011-02-28,0,111,15,47,0,1,799.2
27,5346.916576,2011-02-12,10511,139,33,64,0,1,516.237951
28,12902.560140000001,2011-02-02,86584,111,33,54,2,2,532.8
29,3235.360468,2011-02-07,75690,80,17,44,1,1,384.0
30,2454.5835399999996,2011-02-28,23158,63,4,6,1,1,322.29404300000004
31,18975.45611,2011-01-22,65999,237,1,14,0,6,615.927769
32,4715.321344,2011-01-25,0,65,19,56,0,3,308.15089
33,5018.885233,2011-01-18,54500,63,28,17,0,6,302.4
34,4932.916345000001,2011-02-13,37260,62,19,42,0,8,15.437681
35,5744.229745000001,2011-01-15,68987,71,11,40,0,6,204.475147
36,13891.735669999998,2011-01-08,42305,117,10,62,0,2,561.6
37,7380.9767170000005,2011-02-06,65706,91,19,86,0,8,436.8
38,3090.034104,2011-01-25,0,90,7,79,0,1,648.0
39,2521.633095,2011-02-07,53243,66,4,15,2,1,157.397849
40,2652.0617850000003,2011-01-18,0,70,7,1,1,1,484.31853600000005
41,2771.0450309999997,2011-01-11,50071,71,3,32,0,1,18.918935
42,3939.0063700000005,2011-01-28,60021,99,12,28,0,1,882.8719449999999
43,12231.87968,2011-02-08,43244,103,15,16,0,2,494.4
44,2443.665166,2011-02-23,92834,61,15,56,0,1,292.8
45,12819.10289,2011-01-25,10105,172,5,4,3,3,0.517753
46,4468.510542,2011-01-31,0,73,7,57,3,5,579.165954
47,5514.344018,2011-01-02,23218,71,7,10,0,4,447.79344000000003
48,3343.8753260000003,2011-02-07,0,92,11,77,0,1,529.624084
49,2294.478927,2011-01-18,0,62,11,56,0,1,313.023175
50,36707.42639,2011-01-17,24804,104,1,28,0,2,593.830288
51,33473.349460000005,2011-01-11,33190,106,18,95,0,2,508.8
52,7983.431709,2011-02-21,36014,69,4,40,3,2,173.956072
53,4854.745666,2011-02-16,29834,64,19,44,0,3,307.2
54,4293.997319,2011-01-17,16701,113,20,26,0,1,831.625979
55,7164.3955430000005,2011-02-05,46623,91,1,53,0,3,436.8
56,7619.5158,2011-02-13,64749,64,24,59,0,2,302.56519
57,3958.002823,2011-02-23,0,101,29,12,0,1,484.8
58,4499.493252,2011-01-28,16969,124,34,47,2,1,704.7681110000001
59,4059.567414,2011-02-28,11621,108,4,98,0,1,518.4
60,4458.113369,2011-01-02,17622,65,1,36,1,3,312.0
